Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,directLink
DtmjXJcg3NHRMKWgHNMbh1fJECVBaBDTDmH8wWCZRLzH,-7.04%,$-69.84,$-69.84,52.38%,52.38%,[],https://gmgn.ai/sol/address/DtmjXJcg3NHRMKWgHNMbh1fJECVBaBDTDmH8wWCZRLzH
DeQnh3zySGc3gtxBRJ1XP8VbKiTPXUexa2A37XKbLLNB,0.40%,$568.08,$568.08,?,?,[],https://gmgn.ai/sol/address/DeQnh3zySGc3gtxBRJ1XP8VbKiTPXUexa2A37XKbLLNB
DUdwnqLGgcEBGET26kFhAhDSyt5oM8rmEvFrAsjj1XrD,-9.30%,$-762.40,$-762.40,?,?,[],https://gmgn.ai/sol/address/DUdwnqLGgcEBGET26kFhAhDSyt5oM8rmEvFrAsjj1XrD
EWsG3EDFvgsXae6gVLRmJ5HzBvtdeiDe9REVCyuzyxCe,31.44%,$21.86,$21.86,57.14%,57.14%,[],https://gmgn.ai/sol/address/EWsG3EDFvgsXae6gVLRmJ5HzBvtdeiDe9REVCyuzyxCe
EGcrxQCYzgiM8MCnF9xjwgWtsL791vRXAK7AsnUiogDh,13.68%,"$10,066.18","$28,099.04",44.44%,47.17%,[],https://gmgn.ai/sol/address/EGcrxQCYzgiM8MCnF9xjwgWtsL791vRXAK7AsnUiogDh
E566Q554EhVNs9GZFecVvFMUVDhLN42eTqZSzZRJ4UAr,-0.80%,$-376.36,$-376.36,?,?,[],https://gmgn.ai/sol/address/E566Q554EhVNs9GZFecVvFMUVDhLN42eTqZSzZRJ4UAr
89Xm5KBZceMnf1wuRwEhWqaPd9Dc5LgJfq9YmzBkT7Fs,10.51%,$-50.89,$904.00,50.00%,42.11%,[],https://gmgn.ai/sol/address/89Xm5KBZceMnf1wuRwEhWqaPd9Dc5LgJfq9YmzBkT7Fs
EnQLCLB7NWojruXXNopgH7jhkwoHihTpuzsrtsM2UCSe,9.53%,"$19,878.61","$19,442.44",34.29%,29.38%,[],https://gmgn.ai/sol/address/EnQLCLB7NWojruXXNopgH7jhkwoHihTpuzsrtsM2UCSe
EgGv1fWAwetJpF9ZxjU2kHD6NxHkXr2XH8v3jjXCrred,6.42%,"$8,352.26","$8,878.27",60.50%,50.26%,[],https://gmgn.ai/sol/address/EgGv1fWAwetJpF9ZxjU2kHD6NxHkXr2XH8v3jjXCrred
DWNPQnzsMDM6UX6HdrL4QisUtEKvLGJeHUM792fddWrC,8.45%,"$8,988.94","$8,158.51",31.91%,31.49%,[],https://gmgn.ai/sol/address/DWNPQnzsMDM6UX6HdrL4QisUtEKvLGJeHUM792fddWrC
